https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume ADA,Volume BUSD,tradecount
1701043200000,2023-11-27,ADABUSD,0.3875,0.3922,0.3713,0.378,1623083.0,616808.06688,4826
1700956800000,2023-11-26,ADABUSD,0.3946,0.3957,0.3785,0.3877,1757546.5,682325.86803,4491
1700870400000,2023-11-25,ADABUSD,0.3861,0.3961,0.385,0.3948,1708663.6,669820.71419,3914
1700784000000,2023-11-24,ADABUSD,0.3874,0.3979,0.384,0.3861,4521902.6,1766817.80684,8770
1700697600000,2023-11-23,ADABUSD,0.3807,0.3874,0.3762,0.3874,2522959.8,965545.23917,4515
1700611200000,2023-11-22,ADABUSD,0.3567,0.3874,0.356,0.3805,2826661.4,1053839.39151,6956
1700524800000,2023-11-21,ADABUSD,0.3803,0.3899,0.3555,0.3568,5587353.3,2089176.32744,13605
1700438400000,2023-11-20,ADABUSD,0.3843,0.3994,0.3782,0.3805,5218319.5,2023138.6467,9348
1700352000000,2023-11-19,ADABUSD,0.3776,0.3856,0.3689,0.3841,3642172.6,1372304.20164,7039
1700265600000,2023-11-18,ADABUSD,0.3671,0.3778,0.349,0.3773,4071340.1,1478070.61151,6611
1700179200000,2023-11-17,ADABUSD,0.3706,0.3781,0.3529,0.3672,4986476.9,1828834.60463,11745
1700092800000,2023-11-16,ADABUSD,0.3788,0.4093,0.3589,0.371,11032025.7,4252412.69264,19735
1700006400000,2023-11-15,ADABUSD,0.3577,0.3794,0.3536,0.3786,3974863.8,1463854.75264,7827
1699920000000,2023-11-14,ADABUSD,0.3568,0.3717,0.3394,0.358,4458503.6,1596054.8253,9700
1699833600000,2023-11-13,ADABUSD,0.3837,0.3886,0.3531,0.3569,4038636.9,1495975.28905,10218
1699747200000,2023-11-12,ADABUSD,0.3846,0.3916,0.3711,0.3837,5415466.3,2066863.0004,9748
1699660800000,2023-11-11,ADABUSD,0.3861,0.3953,0.3697,0.3846,7828259.2,3017194.73578,13457
1699574400000,2023-11-10,ADABUSD,0.3685,0.3884,0.363,0.3859,5082355.9,1901029.62378,15521
1699488000000,2023-11-09,ADABUSD,0.3575,0.3866,0.3436,0.3684,8448374.1,3101779.61051,21965
1699401600000,2023-11-08,ADABUSD,0.3513,0.3602,0.3489,0.3575,3976575.6,1413554.38902,6377
1699315200000,2023-11-07,ADABUSD,0.3625,0.3654,0.3336,0.3513,7443887.5,2600376.0691,11436
1699228800000,2023-11-06,ADABUSD,0.3423,0.3757,0.3377,0.3625,8853987.5,3175576.6311,13766
1699142400000,2023-11-05,ADABUSD,0.3281,0.3503,0.3262,0.3421,5489306.7,1865795.67755,10040
1699056000000,2023-11-04,ADABUSD,0.3296,0.3305,0.321,0.328,4524592.5,1473795.41355,4966
1698969600000,2023-11-03,ADABUSD,0.3232,0.3296,0.3116,0.3293,7359759.6,2359350.26294,12447
1698883200000,2023-11-02,ADABUSD,0.3072,0.3296,0.2985,0.3231,8520236.3,2677511.28666,16046
1698796800000,2023-11-01,ADABUSD,0.2927,0.3088,0.2842,0.3071,8179330.4,2393421.50825,9390
1698710400000,2023-10-31,ADABUSD,0.3031,0.3046,0.2848,0.2931,7271038.0,2146986.90405,9170
1698624000000,2023-10-30,ADABUSD,0.295,0.303,0.2919,0.303,4889777.4,1457386.63059,7658
1698537600000,2023-10-29,ADABUSD,0.2904,0.2982,0.2879,0.2948,2266895.3,667797.35612,3503
1698451200000,2023-10-28,ADABUSD,0.2892,0.2971,0.2886,0.2905,3041483.4,890672.59724,3708
1698364800000,2023-10-27,ADABUSD,0.2876,0.2923,0.2806,0.2893,4320208.4,1237848.7533,7023
1698278400000,2023-10-26,ADABUSD,0.2809,0.2973,0.2802,0.2871,8878984.3,2570973.53573,12089
1698192000000,2023-10-25,ADABUSD,0.2791,0.2899,0.2763,0.2808,5078995.9,1431071.22289,8075
1698105600000,2023-10-24,ADABUSD,0.2808,0.2937,0.2737,0.2792,9621121.4,2716968.5244,15276
1698019200000,2023-10-23,ADABUSD,0.2641,0.2811,0.2618,0.2807,9629660.5,2595982.42092,12294
1697932800000,2023-10-22,ADABUSD,0.2587,0.2643,0.2555,0.264,4360482.0,1131035.65987,5148
1697846400000,2023-10-21,ADABUSD,0.2513,0.2627,0.2496,0.2586,4072937.5,1047144.00383,5482
1697760000000,2023-10-20,ADABUSD,0.247,0.2533,0.2455,0.2512,4218204.3,1053902.10206,4378
1697673600000,2023-10-19,ADABUSD,0.2429,0.2469,0.2393,0.2469,3085719.4,750381.88075,3473
1697587200000,2023-10-18,ADABUSD,0.2464,0.2483,0.2423,0.243,2867200.8,704455.97928,3305
1697500800000,2023-10-17,ADABUSD,0.2512,0.2516,0.2446,0.2465,3401982.7,844651.53584,3961
1697414400000,2023-10-16,ADABUSD,0.2473,0.2602,0.2473,0.2512,5764013.4,1455475.53993,6115
1697328000000,2023-10-15,ADABUSD,0.2469,0.2483,0.2455,0.2473,2950375.9,728106.41351,1886
1697241600000,2023-10-14,ADABUSD,0.2458,0.2476,0.2449,0.247,1556719.6,383708.65249,1148
1697155200000,2023-10-13,ADABUSD,0.2459,0.2496,0.2449,0.2458,3278825.5,808953.58142,2242
1697068800000,2023-10-12,ADABUSD,0.248,0.248,0.2422,0.2459,4882885.6,1197799.61092,3298
1696982400000,2023-10-11,ADABUSD,0.249,0.2494,0.2446,0.2481,4383869.6,1082319.53496,3730
1696896000000,2023-10-10,ADABUSD,0.2513,0.2535,0.2467,0.249,5638821.5,1409717.8152,4606
1696809600000,2023-10-09,ADABUSD,0.2564,0.2586,0.2488,0.2514,5270358.3,1328351.24291,4699
1696723200000,2023-10-08,ADABUSD,0.2588,0.2591,0.2555,0.2564,2433094.7,624620.74272,2151
1696636800000,2023-10-07,ADABUSD,0.2648,0.2656,0.2565,0.2588,3573204.3,928520.437,3954
1696550400000,2023-10-06,ADABUSD,0.2604,0.267,0.2604,0.2647,3129745.0,824672.57672,5030
1696464000000,2023-10-05,ADABUSD,0.2589,0.2639,0.2567,0.2602,4066739.8,1060933.36162,5501
1696377600000,2023-10-04,ADABUSD,0.2609,0.2613,0.2526,0.259,4458480.5,1144554.90626,5499
1696291200000,2023-10-03,ADABUSD,0.259,0.2645,0.2575,0.261,5594338.2,1462511.7614,6037
