https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume ACM,Volume BUSD,tradecount
1687824000000,2023-06-27,ACMBUSD,1.898,1.941,1.881,1.94,6808.4,13040.2713,142
1687737600000,2023-06-26,ACMBUSD,1.921,2.023,1.883,1.901,72604.6,142183.8466,979
1687651200000,2023-06-25,ACMBUSD,1.919,1.965,1.911,1.94,5589.3,10806.4434,155
1687564800000,2023-06-24,ACMBUSD,1.896,1.967,1.884,1.916,41426.6,79563.1952,792
1687478400000,2023-06-23,ACMBUSD,1.861,1.922,1.84,1.896,21437.9,40181.7576,353
1687392000000,2023-06-22,ACMBUSD,1.89,1.923,1.842,1.852,25796.4,48502.2447,368
1687305600000,2023-06-21,ACMBUSD,1.856,1.912,1.843,1.888,24804.7,46682.0611,535
1687219200000,2023-06-20,ACMBUSD,1.837,1.866,1.809,1.854,28146.7,51740.9547,398
1687132800000,2023-06-19,ACMBUSD,1.805,1.842,1.786,1.829,21666.1,39079.5668,414
1687046400000,2023-06-18,ACMBUSD,1.832,1.87,1.801,1.804,14156.1,25962.0351,361
1686960000000,2023-06-17,ACMBUSD,1.816,1.868,1.81,1.833,6056.0,11131.8374,146
1686873600000,2023-06-16,ACMBUSD,1.764,1.842,1.763,1.828,18777.9,33826.6083,300
1686787200000,2023-06-15,ACMBUSD,1.749,1.789,1.721,1.775,31885.2,55958.5391,526
1686700800000,2023-06-14,ACMBUSD,1.828,1.875,0.805,1.747,54987.1,97275.3391,1051
1686614400000,2023-06-13,ACMBUSD,1.74,1.967,1.739,1.84,147714.2,273413.3366,2457
1686528000000,2023-06-12,ACMBUSD,1.723,1.765,1.668,1.742,27406.8,47119.7371,446
1686441600000,2023-06-11,ACMBUSD,1.739,1.754,1.718,1.719,8625.2,14968.9203,220
1686355200000,2023-06-10,ACMBUSD,1.975,1.975,1.643,1.73,60179.8,107578.4625,980
1686268800000,2023-06-09,ACMBUSD,1.968,2.057,1.958,1.975,25574.7,51355.3539,496
1686182400000,2023-06-08,ACMBUSD,1.922,2.005,1.882,1.967,31602.5,61541.4566,542
1686096000000,2023-06-07,ACMBUSD,2.124,2.124,1.916,1.921,23108.7,46287.2233,394
1686009600000,2023-06-06,ACMBUSD,2.127,2.164,2.061,2.124,25623.8,54168.9792,432
1685923200000,2023-06-05,ACMBUSD,2.264,2.273,2.07,2.119,33206.0,71907.2652,653
1685836800000,2023-06-04,ACMBUSD,2.295,2.315,2.266,2.266,4556.5,10444.6957,175
1685750400000,2023-06-03,ACMBUSD,2.275,2.327,2.265,2.298,16868.7,38676.7425,387
1685664000000,2023-06-02,ACMBUSD,2.262,2.338,2.2,2.279,31722.4,72470.182,572
1685577600000,2023-06-01,ACMBUSD,2.26,2.304,2.223,2.252,32750.1,74117.7493,525
1685491200000,2023-05-31,ACMBUSD,2.282,2.287,2.222,2.244,34216.7,76933.6585,493
1685404800000,2023-05-30,ACMBUSD,2.315,2.35,2.286,2.286,29332.7,68427.5262,279
1685318400000,2023-05-29,ACMBUSD,2.339,2.356,2.304,2.308,11488.4,26760.1363,207
1685232000000,2023-05-28,ACMBUSD,2.264,2.398,2.264,2.34,44559.4,103637.6149,612
1685145600000,2023-05-27,ACMBUSD,2.264,2.3,2.249,2.266,14947.3,33897.6258,296
1685059200000,2023-05-26,ACMBUSD,2.225,2.3,2.222,2.266,15458.0,35070.0348,372
1684972800000,2023-05-25,ACMBUSD,2.25,2.254,2.171,2.226,28751.5,64205.1587,434
1684886400000,2023-05-24,ACMBUSD,2.32,2.32,2.246,2.262,19361.0,44121.6635,347
1684800000000,2023-05-23,ACMBUSD,2.327,2.344,2.279,2.309,22062.2,50915.0188,297
1684713600000,2023-05-22,ACMBUSD,2.337,2.382,2.286,2.328,36011.6,83877.4887,590
1684627200000,2023-05-21,ACMBUSD,2.352,2.394,2.29,2.326,26954.7,63018.3709,410
1684540800000,2023-05-20,ACMBUSD,2.332,2.437,2.327,2.358,57709.3,137374.1435,913
1684454400000,2023-05-19,ACMBUSD,2.308,2.407,2.287,2.338,53616.5,125753.0716,894
1684368000000,2023-05-18,ACMBUSD,2.295,2.376,2.249,2.307,62107.2,144371.6517,965
1684281600000,2023-05-17,ACMBUSD,2.255,2.313,2.22,2.29,31760.2,71954.03,545
1684195200000,2023-05-16,ACMBUSD,2.337,2.439,2.144,2.265,74547.3,171703.2816,1338
1684108800000,2023-05-15,ACMBUSD,2.311,2.367,2.295,2.328,20953.9,48709.4762,315
1684022400000,2023-05-14,ACMBUSD,2.294,2.395,2.27,2.318,31951.2,74651.5245,703
1683936000000,2023-05-13,ACMBUSD,2.328,2.392,2.264,2.299,59886.9,137778.3864,917
1683849600000,2023-05-12,ACMBUSD,2.327,2.339,2.21,2.327,46634.7,106198.4336,854
1683763200000,2023-05-11,ACMBUSD,2.55,2.593,2.312,2.329,135511.8,330763.2853,2134
1683676800000,2023-05-10,ACMBUSD,2.974,3.014,2.541,2.551,211333.7,585358.3125,3996
1683590400000,2023-05-09,ACMBUSD,2.92,3.05,2.886,2.97,63463.6,188335.7044,1218
1683504000000,2023-05-08,ACMBUSD,3.141,3.209,2.809,2.922,80807.1,242374.4939,1515
1683417600000,2023-05-07,ACMBUSD,3.082,3.208,3.075,3.142,64997.8,203297.6403,1376
1683331200000,2023-05-06,ACMBUSD,3.126,3.22,3.05,3.085,69812.3,217714.4433,1712
1683244800000,2023-05-05,ACMBUSD,3.133,3.208,3.098,3.127,50005.4,157116.5263,1254
1683158400000,2023-05-04,ACMBUSD,3.087,3.264,3.055,3.144,63587.7,200339.6813,1378
1683072000000,2023-05-03,ACMBUSD,3.072,3.165,3.022,3.079,36853.7,113506.6922,970
1682985600000,2023-05-02,ACMBUSD,3.122,3.122,3.056,3.079,49613.7,152958.8975,1179
1682899200000,2023-05-01,ACMBUSD,3.047,3.298,3.031,3.122,135450.2,425451.344,3159
1682812800000,2023-04-30,ACMBUSD,3.047,3.3,3.03,3.046,163602.9,515887.3664,3338
1682726400000,2023-04-29,ACMBUSD,3.063,3.099,3.035,3.046,19947.3,61125.6896,470
1682640000000,2023-04-28,ACMBUSD,3.069,3.116,3.023,3.054,32168.1,98425.21,659
1682553600000,2023-04-27,ACMBUSD,3.066,3.123,3.027,3.075,29067.6,89220.8133,1040
1682467200000,2023-04-26,ACMBUSD,3.124,3.198,2.95,3.07,51158.5,157994.8742,1631
1682380800000,2023-04-25,ACMBUSD,3.093,3.365,3.076,3.125,163099.3,515983.9913,4165
1682294400000,2023-04-24,ACMBUSD,2.982,3.27,2.966,3.09,227159.6,703186.3961,5168
1682208000000,2023-04-23,ACMBUSD,2.985,3.3,2.937,2.981,210293.5,650197.3487,4839
1682121600000,2023-04-22,ACMBUSD,2.846,3.105,2.814,2.982,225449.6,674408.4708,5153
1682035200000,2023-04-21,ACMBUSD,2.934,2.965,2.806,2.865,95024.9,274278.0341,2063
1681948800000,2023-04-20,ACMBUSD,2.937,3.013,2.832,2.939,202873.8,592214.5532,4139
1681862400000,2023-04-19,ACMBUSD,3.15,3.41,2.905,2.941,594758.3,1901892.8119,11726
1681776000000,2023-04-18,ACMBUSD,3.017,3.55,2.988,3.15,541371.1,1756513.8583,12172
1681689600000,2023-04-17,ACMBUSD,2.959,3.164,2.902,3.016,226697.5,689589.1336,5661
1681603200000,2023-04-16,ACMBUSD,2.917,3.02,2.901,2.952,44313.2,130262.2107,1338
1681516800000,2023-04-15,ACMBUSD,2.946,3.046,2.904,2.918,74601.8,221130.7677,1892
1681430400000,2023-04-14,ACMBUSD,2.933,3.064,2.9,2.941,155931.1,464573.4226,3882
1681344000000,2023-04-13,ACMBUSD,2.861,2.99,2.822,2.933,80143.9,233205.7417,2058
1681257600000,2023-04-12,ACMBUSD,2.91,3.077,2.739,2.861,308492.5,894438.5336,6747
1681171200000,2023-04-11,ACMBUSD,2.975,3.322,2.846,2.91,695527.7,2170900.6897,12083
1681084800000,2023-04-10,ACMBUSD,2.792,3.183,2.661,2.972,540824.2,1602137.2467,10215
1680998400000,2023-04-09,ACMBUSD,2.879,3.188,2.751,2.79,492313.6,1461070.4021,8401
1680912000000,2023-04-08,ACMBUSD,2.755,4.137,2.744,2.9,3332072.7,11083868.0401,52652
1680825600000,2023-04-07,ACMBUSD,2.558,2.86,2.506,2.754,427796.7,1158402.938,9011
1680739200000,2023-04-06,ACMBUSD,2.57,2.594,2.525,2.562,31295.8,79831.7013,741
1680652800000,2023-04-05,ACMBUSD,2.526,2.582,2.526,2.572,20929.0,53470.9998,659
1680566400000,2023-04-04,ACMBUSD,2.5,2.55,2.497,2.524,29919.5,75630.3991,662
1680480000000,2023-04-03,ACMBUSD,2.518,2.549,2.444,2.501,51906.6,130774.5647,1515
1680393600000,2023-04-02,ACMBUSD,2.53,2.548,2.48,2.517,58217.1,146214.3694,1080
1680307200000,2023-04-01,ACMBUSD,2.53,2.548,2.503,2.523,12700.5,32055.0052,398
1680220800000,2023-03-31,ACMBUSD,2.544,2.553,2.478,2.529,28698.2,72214.473,448
1680134400000,2023-03-30,ACMBUSD,2.453,2.62,2.409,2.549,142600.7,362246.8906,2935
1680048000000,2023-03-29,ACMBUSD,2.411,2.464,2.409,2.459,14394.1,35056.1775,454
1679961600000,2023-03-28,ACMBUSD,2.371,2.422,2.354,2.408,10745.9,25690.2123,376
1679875200000,2023-03-27,ACMBUSD,2.426,2.456,2.355,2.372,19974.5,48043.1407,405
1679788800000,2023-03-26,ACMBUSD,2.424,2.455,2.414,2.435,11071.5,26882.4028,313
1679702400000,2023-03-25,ACMBUSD,2.473,2.503,2.39,2.423,25572.4,62674.5656,721
1679616000000,2023-03-24,ACMBUSD,2.445,2.527,2.366,2.463,67053.1,165836.6059,1255
1679529600000,2023-03-23,ACMBUSD,2.39,2.496,2.375,2.454,8693.6,21241.2559,323
1679443200000,2023-03-22,ACMBUSD,2.464,2.474,2.307,2.389,22844.7,55080.1057,563
1679356800000,2023-03-21,ACMBUSD,2.474,2.502,2.422,2.464,15308.4,37612.4649,401
1679270400000,2023-03-20,ACMBUSD,2.533,2.566,2.463,2.49,15298.0,38382.6937,466
1679184000000,2023-03-19,ACMBUSD,2.541,2.607,2.525,2.532,13217.2,33826.2411,486
1679097600000,2023-03-18,ACMBUSD,2.583,2.617,2.52,2.543,16559.4,42712.8266,511
1679011200000,2023-03-17,ACMBUSD,2.495,2.582,2.495,2.582,12827.0,32565.11,402
1678924800000,2023-03-16,ACMBUSD,2.495,2.515,2.436,2.496,11404.7,28363.8039,370
1678838400000,2023-03-15,ACMBUSD,2.557,2.589,2.446,2.495,48257.7,122032.5888,1014
1678752000000,2023-03-14,ACMBUSD,2.494,2.594,2.454,2.534,51307.1,129789.9936,1144
1678665600000,2023-03-13,ACMBUSD,2.521,2.57,2.437,2.493,29248.9,73423.498,712
1678579200000,2023-03-12,ACMBUSD,2.434,2.527,2.378,2.515,15018.3,36466.0351,420
1678492800000,2023-03-11,ACMBUSD,2.449,2.473,2.357,2.438,23586.3,57162.1071,494
1678406400000,2023-03-10,ACMBUSD,2.423,2.475,2.322,2.452,28538.7,68588.8374,626
1678320000000,2023-03-09,ACMBUSD,2.54,2.628,2.358,2.407,44052.1,111950.9094,1005
1678233600000,2023-03-08,ACMBUSD,2.589,2.709,2.532,2.544,100037.4,262364.828,2118
1678147200000,2023-03-07,ACMBUSD,2.586,2.636,2.517,2.589,23808.9,61629.8651,579
1678060800000,2023-03-06,ACMBUSD,2.564,2.612,2.529,2.587,14560.0,37348.97,414
1677974400000,2023-03-05,ACMBUSD,2.576,2.643,2.566,2.578,7910.8,20539.3391,210
1677888000000,2023-03-04,ACMBUSD,2.631,2.669,2.545,2.576,15948.4,41922.9818,436
1677801600000,2023-03-03,ACMBUSD,2.756,2.756,2.511,2.628,35930.7,93281.5168,961
1677715200000,2023-03-02,ACMBUSD,2.793,2.794,2.723,2.755,10547.0,29129.5373,311
1677628800000,2023-03-01,ACMBUSD,2.735,2.834,2.727,2.79,14795.1,41340.8192,392
1677542400000,2023-02-28,ACMBUSD,2.81,2.819,2.724,2.73,13571.7,37669.204,322
1677456000000,2023-02-27,ACMBUSD,2.823,2.842,2.775,2.805,18623.2,52317.3552,422
1677369600000,2023-02-26,ACMBUSD,2.81,2.86,2.781,2.823,13122.8,36937.3998,377
1677283200000,2023-02-25,ACMBUSD,2.837,3.042,2.765,2.809,175671.2,513685.1146,3585
1677196800000,2023-02-24,ACMBUSD,2.876,2.945,2.8,2.84,40007.4,114811.4569,896
1677110400000,2023-02-23,ACMBUSD,2.899,2.934,2.847,2.867,18045.9,52131.9623,524
1677024000000,2023-02-22,ACMBUSD,2.916,2.934,2.828,2.902,28484.3,82135.0069,872
1676937600000,2023-02-21,ACMBUSD,2.951,3.016,2.871,2.896,55925.5,164815.5914,1355
1676851200000,2023-02-20,ACMBUSD,2.985,3.026,2.898,2.941,51285.3,152229.4528,1014
1676764800000,2023-02-19,ACMBUSD,2.967,3.0,2.93,2.97,30473.0,90505.6475,733
1676678400000,2023-02-18,ACMBUSD,2.972,3.002,2.949,2.966,19448.5,57877.7094,562
1676592000000,2023-02-17,ACMBUSD,2.883,2.986,2.879,2.974,33112.7,97823.4188,933
1676505600000,2023-02-16,ACMBUSD,3.055,3.078,2.879,2.891,89518.3,270529.2668,2311
1676419200000,2023-02-15,ACMBUSD,3.034,3.089,2.95,3.055,64951.7,195445.6672,1738
1676332800000,2023-02-14,ACMBUSD,2.957,3.09,2.929,3.035,86521.5,260353.1114,2469
1676246400000,2023-02-13,ACMBUSD,3.013,3.082,2.863,2.953,54724.5,162961.1648,1403
1676160000000,2023-02-12,ACMBUSD,3.079,3.183,2.952,2.991,93097.7,287307.3585,2348
1676073600000,2023-02-11,ACMBUSD,2.893,3.21,2.886,3.079,288937.9,884415.0048,6814
1675987200000,2023-02-10,ACMBUSD,2.826,3.075,2.809,2.877,214978.4,627273.7375,4517
1675900800000,2023-02-09,ACMBUSD,3.047,3.263,2.815,2.827,358727.0,1072545.3456,6953
1675814400000,2023-02-08,ACMBUSD,2.908,3.25,2.854,3.054,317163.7,970155.4532,5989
1675728000000,2023-02-07,ACMBUSD,2.77,2.923,2.758,2.901,90702.1,260203.6244,2188
1675641600000,2023-02-06,ACMBUSD,2.738,2.826,2.701,2.768,60437.7,167898.0182,1219
1675555200000,2023-02-05,ACMBUSD,2.813,2.831,2.701,2.737,57202.0,158172.8583,1071
1675468800000,2023-02-04,ACMBUSD,2.829,2.851,2.811,2.813,39905.1,112948.2401,889
1675382400000,2023-02-03,ACMBUSD,2.758,2.84,2.745,2.822,76442.4,214165.1357,1445
1675296000000,2023-02-02,ACMBUSD,2.748,2.813,2.726,2.745,69344.5,192682.8948,1577
1675209600000,2023-02-01,ACMBUSD,2.714,2.75,2.628,2.744,64308.8,173996.9815,1433
1675123200000,2023-01-31,ACMBUSD,2.688,2.758,2.681,2.707,48262.2,131536.3418,1117
1675036800000,2023-01-30,ACMBUSD,2.84,2.851,2.662,2.689,87093.6,240570.4104,1974
1674950400000,2023-01-29,ACMBUSD,2.868,2.913,2.831,2.84,80834.1,231373.4625,1997
1674864000000,2023-01-28,ACMBUSD,2.841,2.881,2.813,2.856,44405.0,126644.3181,994
1674777600000,2023-01-27,ACMBUSD,2.846,2.865,2.787,2.835,37736.9,106976.6873,814
1674691200000,2023-01-26,ACMBUSD,2.843,2.878,2.82,2.837,35169.0,100083.3893,803
1674604800000,2023-01-25,ACMBUSD,2.79,2.92,2.716,2.855,129442.1,366839.8943,2697
1674518400000,2023-01-24,ACMBUSD,2.964,3.013,2.766,2.788,78081.7,226748.8356,1567
1674432000000,2023-01-23,ACMBUSD,2.945,3.037,2.899,2.962,81919.9,242281.7642,1687
1674345600000,2023-01-22,ACMBUSD,2.905,2.99,2.888,2.941,61331.6,179970.7975,1349
1674259200000,2023-01-21,ACMBUSD,2.944,3.003,2.874,2.9,60808.5,179683.6268,1423
1674172800000,2023-01-20,ACMBUSD,2.803,3.024,2.77,2.943,264102.2,770773.9996,4488
1674086400000,2023-01-19,ACMBUSD,2.705,2.893,2.694,2.815,67030.0,186340.7249,1270
1674000000000,2023-01-18,ACMBUSD,2.954,2.996,2.707,2.714,98234.3,281248.8199,2354
1673913600000,2023-01-17,ACMBUSD,2.966,3.054,2.94,2.942,124977.3,373410.1353,2517
1673827200000,2023-01-16,ACMBUSD,3.071,3.45,2.958,2.966,638680.4,2040093.8647,10550
1673740800000,2023-01-15,ACMBUSD,2.836,3.297,2.767,3.07,403377.6,1215778.673,7614
1673654400000,2023-01-14,ACMBUSD,2.607,3.209,2.606,2.83,710463.2,2066675.4457,11585
1673568000000,2023-01-13,ACMBUSD,2.56,2.645,2.542,2.607,63785.1,165924.2253,1523
1673481600000,2023-01-12,ACMBUSD,2.576,2.59,2.501,2.559,44564.8,113653.0061,999
1673395200000,2023-01-11,ACMBUSD,2.561,2.59,2.52,2.577,28174.5,71681.8299,803
1673308800000,2023-01-10,ACMBUSD,2.523,2.591,2.51,2.561,73402.5,187490.5484,1714
1673222400000,2023-01-09,ACMBUSD,2.526,2.591,2.511,2.525,97908.2,248603.4307,2472
1673136000000,2023-01-08,ACMBUSD,2.545,2.585,2.507,2.523,40852.1,103604.7786,754
1673049600000,2023-01-07,ACMBUSD,2.548,2.588,2.524,2.542,35848.7,91610.6847,809
1672963200000,2023-01-06,ACMBUSD,2.615,2.658,2.477,2.546,170630.5,435785.9927,3090
1672876800000,2023-01-05,ACMBUSD,2.432,3.002,2.385,2.616,1894080.3,5001289.788,33537
1672790400000,2023-01-04,ACMBUSD,2.397,2.444,2.382,2.431,28542.4,68640.6965,577
1672704000000,2023-01-03,ACMBUSD,2.35,2.409,2.34,2.395,28605.9,67930.0424,513
1672617600000,2023-01-02,ACMBUSD,2.32,2.361,2.309,2.344,36435.8,85067.9153,527
1672531200000,2023-01-01,ACMBUSD,2.299,2.328,2.29,2.328,30828.3,71184.3983,571
1672444800000,2022-12-31,ACMBUSD,2.29,2.315,2.276,2.3,18438.4,42367.7713,431
1672358400000,2022-12-30,ACMBUSD,2.303,2.337,2.267,2.291,24682.0,56766.3896,698
1672272000000,2022-12-29,ACMBUSD,2.285,2.35,2.259,2.303,30084.8,69561.7076,876
1672185600000,2022-12-28,ACMBUSD,2.347,2.347,2.276,2.286,29232.2,67338.6167,668
1672099200000,2022-12-27,ACMBUSD,2.349,2.366,2.321,2.343,16126.8,37752.2138,538
1672012800000,2022-12-26,ACMBUSD,2.34,2.362,2.316,2.347,14127.6,33034.1949,352
1671926400000,2022-12-25,ACMBUSD,2.364,2.389,2.321,2.339,24995.1,58776.1893,675
1671840000000,2022-12-24,ACMBUSD,2.34,2.535,2.34,2.372,190956.2,466339.4076,4024
1671753600000,2022-12-23,ACMBUSD,2.305,2.382,2.296,2.341,49988.2,116690.3998,1106
1671667200000,2022-12-22,ACMBUSD,2.307,2.332,2.26,2.309,15486.3,35638.1772,532
1671580800000,2022-12-21,ACMBUSD,2.324,2.324,2.271,2.297,30236.1,69415.2775,954
1671494400000,2022-12-20,ACMBUSD,2.235,2.335,2.235,2.326,17278.6,39771.5924,569
1671408000000,2022-12-19,ACMBUSD,2.339,2.349,2.217,2.239,40843.1,93998.2563,769
1671321600000,2022-12-18,ACMBUSD,2.334,2.436,2.256,2.33,61316.0,144488.0407,1909
1671235200000,2022-12-17,ACMBUSD,2.26,2.409,2.215,2.328,35957.7,83550.0632,922
1671148800000,2022-12-16,ACMBUSD,2.435,2.46,2.253,2.278,41692.8,99865.613,1424
1671062400000,2022-12-15,ACMBUSD,2.527,2.59,2.415,2.437,104789.1,264040.0015,2401
1670976000000,2022-12-14,ACMBUSD,2.446,2.549,2.405,2.535,72899.5,180293.342,1719
1670889600000,2022-12-13,ACMBUSD,2.465,2.524,2.341,2.446,62571.1,151772.2411,1528
1670803200000,2022-12-12,ACMBUSD,2.497,2.498,2.409,2.453,27574.7,67590.0444,886
1670716800000,2022-12-11,ACMBUSD,2.574,2.602,2.5,2.5,20870.3,53337.7355,774
1670630400000,2022-12-10,ACMBUSD,2.585,2.621,2.55,2.573,25811.4,66934.0253,955
1670544000000,2022-12-09,ACMBUSD,2.571,2.609,2.549,2.582,28545.3,73611.8093,1018
1670457600000,2022-12-08,ACMBUSD,2.57,2.59,2.506,2.576,23398.4,59781.8852,1061
1670371200000,2022-12-07,ACMBUSD,2.625,2.629,2.511,2.568,29352.7,75351.0099,1081
1670284800000,2022-12-06,ACMBUSD,2.624,2.643,2.589,2.625,26706.4,69786.5444,1039
1670198400000,2022-12-05,ACMBUSD,2.629,2.66,2.58,2.628,19045.3,50204.3073,824
1670112000000,2022-12-04,ACMBUSD,2.622,2.671,2.581,2.631,45873.2,120866.3847,1241
1670025600000,2022-12-03,ACMBUSD,2.692,2.716,2.613,2.624,47077.2,125291.9402,1299
1669939200000,2022-12-02,ACMBUSD,2.647,2.737,2.605,2.694,94593.4,252431.9424,2800
1669852800000,2022-12-01,ACMBUSD,2.642,2.693,2.596,2.646,84014.0,221594.0031,2163
1669766400000,2022-11-30,ACMBUSD,2.644,2.676,2.57,2.643,101953.8,267613.8386,2466
1669680000000,2022-11-29,ACMBUSD,2.49,2.735,2.49,2.644,272530.9,708964.2318,5131
1669593600000,2022-11-28,ACMBUSD,2.51,2.52,2.39,2.491,56047.1,138395.2467,1905
1669507200000,2022-11-27,ACMBUSD,2.587,2.626,2.443,2.51,81280.3,208346.3199,2524
1669420800000,2022-11-26,ACMBUSD,2.615,2.795,2.547,2.58,243408.7,644193.5138,5849
1669334400000,2022-11-25,ACMBUSD,2.491,2.85,2.384,2.616,518304.7,1379636.7796,10294
1669248000000,2022-11-24,ACMBUSD,2.523,2.534,2.442,2.484,63797.0,158321.4868,1751
1669161600000,2022-11-23,ACMBUSD,2.481,2.588,2.431,2.524,68767.6,171922.9179,2632
1669075200000,2022-11-22,ACMBUSD,2.412,2.563,2.344,2.473,103642.2,251880.0855,2962
1668988800000,2022-11-21,ACMBUSD,2.539,2.575,2.355,2.406,89248.8,217051.023,2406
1668902400000,2022-11-20,ACMBUSD,2.801,2.9,2.511,2.529,177349.3,488194.1941,4718
1668816000000,2022-11-19,ACMBUSD,3.021,3.026,2.758,2.802,137747.3,393472.2004,3764
1668729600000,2022-11-18,ACMBUSD,2.773,3.24,2.758,3.022,328491.7,979923.6285,7725
1668643200000,2022-11-17,ACMBUSD,2.705,2.87,2.589,2.77,125065.7,345412.7422,4138
1668556800000,2022-11-16,ACMBUSD,2.692,2.853,2.535,2.715,212589.5,581498.1055,5264
1668470400000,2022-11-15,ACMBUSD,2.447,2.904,2.437,2.693,215185.9,574516.5648,5330
1668384000000,2022-11-14,ACMBUSD,2.428,2.561,2.233,2.452,112052.9,269241.7879,3004
1668297600000,2022-11-13,ACMBUSD,2.391,3.45,2.288,2.418,487577.9,1328118.029,10664
